Afiliate number,Active,Name,FirstName,LastName,Email,WorkPhone,WhatsApp,Address,Web,Descripcion,City,Maps,Location,Discount,Logo,Facebook,Instagram,Category,Sub-Categoria,Service,Type,Sticker,Rating,Recommended,TyC
238,TRUE,Tony B'S,Nita,,botestony@gmail.com,9871131085,9871131085,"Calle 2 Nte, Quintana Roo, Centro, 77600 Cozumel, Q.R.",https://tonybcozumel.com/,Family bar and Pet friendly restaurant.,Cozumel,https://maps.app.goo.gl/PRXE5nQSfietADyi8,"20.511989831608208, -86.94807189258044",15 %,https://drive.google.com/file/d/1bfnzWapIiNKRgGP1fFBvyJW9Rr9F7bwH/view?usp=drive_link,https://www.facebook.com/TonyBcozumel/,,Restaurant Bar Brats & BBQ,Brats Bar & BBQ,,Restaurants,Yes,1,FALSE,NO
239,TRUE,Tooj Fusion Cuisine,Victor Manuel,Ruiz Vazquez,vruiz@kasahotels.com,9841881331,9841837779,"Calle Balam Dzakab, Aldea Zama, 77760 Tulum, Q.R.",https://www.kasahotelkuyen.com/restaurant-aldea-zama-tooj-fusion-cuisine,International Restaurant Enjoy an international menu with a touch of KASA's Mexican DNA.,Tulum,https://maps.app.goo.gl/MnDT75cUx42xyuYy8,"20.200580685673884, -87.45707459275172",15 %,https://drive.google.com/file/d/1qROiUh3gP4dpzzlgWMRDmja1WDcBYXl0/view?usp=drive_link,https://www.facebook.com/toojfusioncuisine,https://www.instagram.com/toojbreakfastandbrunch/,Restaurant International Breakfast,International Breakfast,Restaurant,Restaurants,Yes,1,FALSE,NO
240,TRUE,Ultramar,Oscar ,Llañez,servicioalcliente@ultramarferry.com,998 460 3084,998 129 7228,"Avenida López Portillo SM 84 MZ 5 L 6 Puerto Juárez, Cancún, Mexico",https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.ultramarferry.com%2Fes%3Ffbclid%3DIwZXh0bgNhZW0CMTAAAR0UUyZFIUUZpXrbuutZ-XotwsZXJ-SSHJ8HwcEyRHnQ1Ivp9HBheXJCLug_aem_ZmFrZWR1bW15MTZieXRlcw&h=AT3h9paRn23D7Sq1baIvKW8U-zQ1R2nmOTkWeR5qc2bB53Uos9dbnv-NghWXTXoosPnE6GQWg4RqPEUvmDwZpRSUahPACioBm12zJTD8au3p6nnkdLDyNiUs0j0yDgjjboqLsg,Ferry Transportation,Cancún,https://maps.app.goo.gl/GHcHYEiKBEJoFUtc7,"21.183659903504033, -86.80832255376264",10% discount,https://drive.google.com/file/d/1lInVDJll2TWtnssSM7ogM33ppdxiBz9Z/view?usp=drive_link,https://www.facebook.com/UltramarFerry/?locale=ru_RU,https://www.instagram.com/ultramarferry/,Service Transportation,Transport service,Ferries,Services,Yes,1,TRUE,NO
241,TRUE,Ultramar,Oscar ,Llañez,servicioalcliente@ultramarferry.com,998 460 3084,998 129 7228,"Avenida López Portillo SM 84 MZ 5 L 6 Puerto Juárez, Cancún, Mexico",https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.ultramarferry.com%2Fes%3Ffbclid%3DIwZXh0bgNhZW0CMTAAAR0UUyZFIUUZpXrbuutZ-XotwsZXJ-SSHJ8HwcEyRHnQ1Ivp9HBheXJCLug_aem_ZmFrZWR1bW15MTZieXRlcw&h=AT3h9paRn23D7Sq1baIvKW8U-zQ1R2nmOTkWeR5qc2bB53Uos9dbnv-NghWXTXoosPnE6GQWg4RqPEUvmDwZpRSUahPACioBm12zJTD8au3p6nnkdLDyNiUs0j0yDgjjboqLsg,Ferry Transportation,Isla Mujeres,https://maps.app.goo.gl/BXGnRLiSmxNc5E19A,"21.255168487888035, -86.74620385629132",10% discount,https://drive.google.com/file/d/1lInVDJll2TWtnssSM7ogM33ppdxiBz9Z/view?usp=drive_link,https://www.facebook.com/UltramarFerry/?locale=ru_RU,https://www.instagram.com/ultramarferry/,Service Transportation,Transport service,Ferries,Services,Yes,1,TRUE,NO
242,TRUE,Ultramar,Oscar ,Llañez,servicioalcliente@ultramarferry.com,998 460 3084,998 129 7228,"Avenida López Portillo SM 84 MZ 5 L 6 Puerto Juárez, Cancún, Mexico",https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.ultramarferry.com%2Fes%3Ffbclid%3DIwZXh0bgNhZW0CMTAAAR0UUyZFIUUZpXrbuutZ-XotwsZXJ-SSHJ8HwcEyRHnQ1Ivp9HBheXJCLug_aem_ZmFrZWR1bW15MTZieXRlcw&h=AT3h9paRn23D7Sq1baIvKW8U-zQ1R2nmOTkWeR5qc2bB53Uos9dbnv-NghWXTXoosPnE6GQWg4RqPEUvmDwZpRSUahPACioBm12zJTD8au3p6nnkdLDyNiUs0j0yDgjjboqLsg,Ferry Transportation,Cozumel,https://maps.app.goo.gl/mHZ432fDEfefZSGB8,"20.496272432750647, -86.96495744047226",10% discount,https://drive.google.com/file/d/1lInVDJll2TWtnssSM7ogM33ppdxiBz9Z/view?usp=drive_link,https://www.facebook.com/UltramarFerry/?locale=ru_RU,https://www.instagram.com/ultramarferry/,Service Transportation,Transport service,Ferries,Services,Yes,1,TRUE,NO
243,TRUE,Ultramar,Oscar ,Llañez,servicioalcliente@ultramarferry.com,998 460 3084,998 129 7228,"Avenida López Portillo SM 84 MZ 5 L 6 Puerto Juárez, Cancún, Mexico",https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.ultramarferry.com%2Fes%3Ffbclid%3DIwZXh0bgNhZW0CMTAAAR0UUyZFIUUZpXrbuutZ-XotwsZXJ-SSHJ8HwcEyRHnQ1Ivp9HBheXJCLug_aem_ZmFrZWR1bW15MTZieXRlcw&h=AT3h9paRn23D7Sq1baIvKW8U-zQ1R2nmOTkWeR5qc2bB53Uos9dbnv-NghWXTXoosPnE6GQWg4RqPEUvmDwZpRSUahPACioBm12zJTD8au3p6nnkdLDyNiUs0j0yDgjjboqLsg,Ferry Transportation,Playa del Carmen,https://maps.app.goo.gl/uLctcAEKpym3e6K47,"20.621103645037202, -87.0753857",10% discount,https://drive.google.com/file/d/1lInVDJll2TWtnssSM7ogM33ppdxiBz9Z/view?usp=drive_link,https://www.facebook.com/UltramarFerry/?locale=ru_RU,https://www.instagram.com/ultramarferry/,Service Transportation,Transport service,Ferries,Services,Yes,1,TRUE,NO
244,TRUE,Una Más Sports Bar,Alejandro,,unamascozumel@gmail.com,9875642615,9875642615,10 av entre 2 y 4 calles,,"Welcome to UNA MORE! A great family bar with good food, drinks, sports and live music.",Cozumel,https://maps.app.goo.gl/fnTLXDGKD6D6aCCt9?g_st=ic,"20.510879562570775, -86.9470489711636",1 daisy,https://drive.google.com/file/d/1-YYU-x4e1NzsTGBOuhsVdyxvuNgfrCqD/view?usp=drive_link,https://m.facebook.com/UnaMasCZM/,,Restaurant Mexican Birria,Mexican Birria,,Restaurants,Yes,1,FALSE,NO
245,TRUE,Tulum Bike Scooter And Rentals,Emanuel,,contact@scooter-tulum-services.com,9841067933,,Calle sol ote. 252 tulum centro,https://scooter-tulum-services.com/,Bike and scooter rental,Tulum,https://maps.app.goo.gl/h8uQzGTR9TeeVc1t9?g_st=ic,"20.212440192427064, -87.45441404418207",10%,https://drive.google.com/file/d/1htIbp-HJTNrQwYaECLtOmJBivyV2QV-m/view?usp=drive_link,https://www.facebook.com/scootertulumservices,https://www.instagram.com/scootertulumservices,Bike Rental Service,Rental Bike,Rental Bike,Restaurants,Yes,1,FALSE,NO
247,TRUE,Waah - cocina de origen,edgar,gutierrez,contacto@makaaba.com,5577153503,5577153503,"Av 1, colonia Centro entre calle 14 y 16, 77930 Bacalar, Q.R.",https://www.hotelmakaaba.com/waah,Ancestral Mexican cuisine,Bacalar,https://maps.app.goo.gl/LPpmCs4m4QyyHwzU6,"18.674622192774972, -88.38970596188915",10%,https://drive.google.com/file/d/1s48idoaZoaTInpVdFlfPqqeU7t0Y1uA2/view?usp=drive_link,https://m.facebook.com/people/Waah-Cocina-de-Origen-by-Makaab%C3%A1/100086345568134/,https://www.instagram.com/waahcocina/,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
248,TRUE,XO'K Chocolatería,Natalia,Careaga Zarate,xok.chocolateria@gmail.com,2282560994,2282560994,Calle Orion Sur entre calles Sol Ote. y Andromda Ote.,,"The best cocoa, fermented seed from the Mexican Jungle",Tulum,https://maps.app.goo.gl/ywavaYkxu1g7icAW9,"20.21101151208501, -87.46026568465436",15 %,https://drive.google.com/file/d/1zyeaaKgqP2rAjHyRDStsy3ZyczddXpgt/view?usp=drive_link,https://www.facebook.com/xok.chocolateria/,https://www.instagram.com/xok.chocolateria/?hl=es,"Restaurant Cafe, Chocolat",CoffeeChocolat,,Restaurants,Yes,1,FALSE,NO
249,TRUE,Cielito Lindo,Diana       ,Romero,taqueria_nacho_libre@hotmail.com ,9878783900,9871031461,"Calle Xhanan Manzana 253 Lote 1 #34, Fraccionamiento Caribe 2, 77645 Cozumel, Q.R.",,Mexican restaurant,Cozumel,https://maps.app.goo.gl/ibK3gzuXquQoErMs6,"20.479465158277385, -86.93504168330975",20%,https://drive.google.com/file/d/1qp1xVfetLDRIr10gAJgRdWgKjjg-FES0/view?usp=drive_link,https://www.facebook.com/profile.php?id=100083141545924&locale=es_LA,,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
Spa,"Tattoo-Tattoo,Stores,Yes,1,FALSE,NO",,,,,,,,"México,https://sites.google.com/view/molix-shop/p%C3%A1gina-principal?fbclid=PAAaYjUDvM1e0Ez4p5GZz4404jzHzqISQaPVoMTjCzlMXpGBhuIzg0N1qJyko_aem_AQVqtariBoiXswZXPsQy42XRKccNAl2VZoam_my4pEfwAzzGBAEfsFFsunjIzjo4U68,Body modification studio with specialties in Micropigmentation",,Piercings,"Tattoos.,Cancún,https://maps.app.goo.gl/MvkVhduKf9ukYEiXA,21.16152033066499",,,,"-86.83459513584806,hand exfoliation,https://drive.google.com/file/d/1VvFpBm1OjyRwz3mqpwygTqMBXZNBq4RP/view?usp=drive_link,https://www.facebook.com/molixshop?mibextid=LQQJ4d,https://www.instagram.com/molix_xalom?igsh=MW90NWdkNzl1MjBobA==,Service Tattoo shop,tattoo shop,Salon-Salon",,,,,,,,,
251,TRUE,Atolón Mar y Tierra,David,,,9841056833,9841056833,Esquina Palenque y calle 7 sur,https://atolon-mar-y-tierra.negocio.site/?utm_source=gmb&utm_medium=referral,Seafood restaurant,Tulum,https://maps.app.goo.gl/Vdm2erF2r3ZBr8W3A,"20.20382226059725, -87.47066267175394",15 %,https://drive.google.com/file/d/1VjWEy5xKjqwHygpYjMl2Q_yARVzoXBFz/view?usp=drive_link,https://www.facebook.com/Atolon.tulum?mibextid=LQQJ4d,,Mexican Seafood Restaurant,Mexican Seafood,,Restaurants,Yes,1,FALSE,NO
252,TRUE,Silver Shop Sterling Silver,,,,9841165019,,Av tulum manzana 5,,Jeweler's,Tulum,https://maps.app.goo.gl/MHfSmaixVzZWggot5,"20.212481605681937, -87.46018648650924",10%,https://drive.google.com/file/d/1ACrF7gK8SbpRWLzH0N1Tp4uQFheB6sjG/view?usp=drive_link,,,Jewelry Store,Jewelry,Jewelry,Stores,Yes,1,FALSE,NO
253,TRUE,The King of the Smoke Shop,,,Thekingofthesmokeshop26pdc@gmail.com,9842669535,9984195674,"Calle 26 con Quinta Avenida 77710 Playa del Carmen, Q.R.",https://thekingofthesmokeshop.com/,"Welcome to The King of the Smoke Shop, the premier destination for all things CBD, tobacco, vaporizers, papers, pipes and more!",Playa del Carmen, https://maps.app.goo.gl/r1LcpTyiq99URLUt9?g_st=ic,"20.6321792310449, -87.06866364232717",$100 to $200 pesos discount on purchase,https://drive.google.com/file/d/1F0GIgP-9APADD1uqREYwks6HTwmf4sHr/view?usp=drive_link,https://m.facebook.com/thekingofthesmokeshop/,https://www.instagram.com/thekingofthesmoke/,Store Smoke Shop,Smoke Shop,Smoke Shop,Stores,Yes,1,FALSE,NO
254,TRUE,Design by Cristiano,,,Cristianodesignventas@gmail.com,3787314733,3787314733,5ta avenida y calle 38,,Bikini Boutique,Playa del Carmen,https://maps.app.goo.gl/Z9KfsWBnjMjc8SA96,"20.635582368057644, -87.06624365767284",10% discount paying in cash,https://drive.google.com/file/d/1oYzp9_KhAmx9y2OOX6S_iqzkOSiA7ZVn/view?usp=drive_link,,https://www.instagram.com/christianodesign.mx?igsh=aTI2dXIwMGJ3bW5m,Store Swimsuits,Swimsuits,,Stores,Yes,1,FALSE,NO
255,TRUE,Mr. Habanero,,,,9984942875,9984942875,"Supermanzana mercado 28, 77509 Cancún, Q.R.",https://carta.menu/amp/restaurants/cancun/mr-habanero,"Mexican restaurant, mariachis and good food.",Cancún,https://maps.app.goo.gl/LN6C9tWm2ovFLSPj6?g_st=ic,"21.162665592416374, -86.83409334418207",water of the day,https://drive.google.com/file/d/1wVzual-D2rnZ9MVFhPhThs-ShPJd4XWz/view?usp=drive_link,https://www.facebook.com/restaurantesencancun?mibextid=LQQJ4d,https://www.instagram.com/explore/locations/712104182470529/mr-habanero-cancun/,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
256,TRUE,Roma Spaghetti,,,,9841967952,9841967952,"Av. CTM 50, Zazil-ha, 77710 Playa del Carmen, Q.R.",https://carta.menu/amp/restaurants/playa-del-carmen/roma-spaghetti,The restaurant is run by the Roma family and awaits you to try delicious Italian food.,Playa del Carmen,"https://maps.google.com?q=Roma%20Spaghetti,%20Av.%20CTM%2050,%20Zazil-ha,%2077710%20Playa%20del%20Carmen,%20Q.R.&ftid=0x8f4e4340ca303a29:0x2efdd1a4e95fa76c&coh=176814&entry=gps&lucs=,47065934,47084304,94206604&g_st=ic","20.638390582188013, -87.06501447726548",10%,https://drive.google.com/file/d/162_fgB-IZYHYHiaUSbEWS4A0_Jnsg8cQ/view?usp=drive_link,https://www.facebook.com/romaspaghettimx?mibextid=LQQJ4d,,Restaurant Italian-Italiano,Italian-Italian,,Restaurants,Yes,1,FALSE,NO
257,TRUE,Fonda Huauzontle,,,almutt85@gmail.com,5540106660,5540106660,Av tulum 913,https://carta.menu/amp/restaurants/tulum/fonda-huauzontle,Mexican restaurant,Tulum,https://maps.app.goo.gl/3Jb9J836ibsYQ7Vu9,"20.213142050175332, -87.4574961386174",20%,https://drive.google.com/file/d/16EEBJ3ky6Hs5_Hfp7XJGumQQaWpSpR1T/view?usp=drive_link,https://m.facebook.com/HuauzontleMX/,https://www.instagram.com/fonda_huauzontle/,Mexican-Mexican Restaurant,Mexican-Mexican,,Restaurants,Yes,1,FALSE,NO
258,TRUE,Mil Amores Cantina Mexicana,Alejandra,,Mil.amores.tulumoficial@gmail.com,9842764504,9842764504,"Avenida satelite mza 15 lote 2 Sanitario sur Centro, 77760 Tulum, Q.R.",https://carta.menu/amp/restaurants/tulum/mil-amores-tulum-mexicano-mexico,"Flavor, atmosphere and good drinks!",tulum,https://maps.app.goo.gl/Srb27fvc5gi4EwVy7?g_st=ic,"20.21371824234072, -87.45896102883641",10%,https://drive.google.com/file/d/1BJDdoH-_UU1dxiEfjk1CjD2t66la7oQB/view?usp=drive_link,https://www.facebook.com/Mil.Amores.Cantina.Mexicana?mibextid=LQQJ4d,https://www.instagram.com/mil_amores_tulum/,"Restaurant Bar, Mexican-Mexican, pizzeria","Bar, Mexican-Mexican, pizzeria",,Restaurants,Yes,1,FALSE,NO
260,TRUE,El Diez Parrilla Argentina,Brenda,,Playacarmen@eldiez.com.mx, 1 55 8007 0502,984 268 6230,5ta Av con calle 30,https://www.eldiez.com.mx/playa-del-carmen/,"Since 2007 in Playa del Carmen, exquisite Argentine flavor.",Playa del Carmen,https://maps.app.goo.gl/MLPxH1c8nsAcwJ5V7,"20.63359290726333, -87.06834567672823",10%,https://drive.google.com/file/d/18xDFCMKbutHI-S8obeohaj57Rdr8-qob/view?usp=drive_link,https://m.facebook.com/eldiezplaya/,https://www.instagram.com/eldiezplaya/?hl=es,Restaurant Argentina,Argentina,,Restaurants,Yes,1,FALSE,NO
261,TRUE,La Caprichoza,,,,9848794508,9848794508,5ta Av. con calle 14,https://www.lacaprichoza.com,"Enjoy your dinner in the best located place, with the best life and wonderful flavors of Mexican cuisine.",Playa del Carmen,https://maps.app.goo.gl/tRYsX4WUnsuHK6Tz6,"20.628400871046093, -87.07113755767281",10%,https://drive.google.com/file/d/1OwfQgPEd-hRFmLgoLnpCQPzDYkPVF7DY/view?usp=drive_link,,https://www.instagram.com/lacaprichozarestaurante,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
262,TRUE,Poke No?,,,,9982005767,,Av huayacan. Plaza aura. SM313 MZ244. 77560 cancun quintana roo,https://www.poke-no.com/,Bar,Cancún,https://maps.google.com/?cid=8546957615167729197&entry=gps,"21.120711182612727, -86.84446787116359",Courtesy water of the day,https://drive.google.com/file/d/1ovJ7AVujEznu6njE5ZHi-M4R-2xUkLFd/view?usp=drive_link,https://www.facebook.com/pokeno.mx?mibextid=LQQJ4d,https://www.instagram.com/pokeno.mx?igsh=ZWNsOHo0ZW10Mzlk,restaurant Bar,Bar,,Restaurants,Yes,1,FALSE,NO
263,TRUE,Quinta de Piedra,Karmina ,Casas,rpquintadepiedra@hotmail.com,984 113 5532‬,9841135532,5ta Av entre calles 34 y 38,https://www.quintadepiedra.com/,Our dishes at Quinta have been coordinatedly selected from Mexican roots,Playa del Carmen,https://maps.app.goo.gl/TjzQdPDS36stxmnDA?g_st=ic,"20.63428913470494, -87.06705054418207",Homedrinks en 2 x190 (no apply with other promotions) ,https://drive.google.com/file/d/1Sm_NffCxuwsB5PE40sxUbOt7zYh7Mynh/view?usp=drive_link,https://m.facebook.com/QuintadePiedraMX/,https://www.instagram.com/quinta_de_piedra_mxn/?hl=es,Restaurant Mexican Breakfast,Mexican Breakfast,,Restaurants,Yes,1,FALSE,NO
264,TRUE,Coco Grill & Beer,Itzel,,,9843222372,9843222372,"5 Av. Nte. entre CTM Y AVENIDA 44, Zazil-ha, 77720 Playa del Carmen, Q.R.",,Welcome to Coco Parrila & Beer,Playa del Carmen,https://maps.app.goo.gl/rxstL2uhahMWq3yj8,"20.63811389384824, -87.06437875396306",10%,https://drive.google.com/file/d/1fH3dMNe77ljOLhqPoxJpnxd7j0rLDC0O/view?usp=drive_link,,https://www.instagram.com/cocogrillandbeer/,Restaurant Grill and Beer,Grill and Beer,,Restaurants,Yes,1,FALSE,NO
265,TRUE,Acqua e Farina,,,,9842390733,9842390733,Av satélite y carretera tulum,,"A small corner of Rome in the center of Tulum, homemade cuisine, family atmosphere and excellent service.",Tulum,https://maps.app.goo.gl/395LTfmTzmJYsJK17?g_st=ic,"20.212941191859827, -87.45869574418205",10%,https://drive.google.com/file/d/1Qaap2aVirnKQhUKSI0WiwIXJ2eKmm-bS/view?usp=drive_link,https://m.facebook.com/AcquaeFarinaTrattoriadaMario/,https://www.instagram.com/acquaefarinatulum/?hl=es-la,Restaurant Italian-Italiano,Italian-Italian,,Restaurants,Yes,1,FALSE,NO
266,TRUE,Mitote Karaoke Bar,Alex,,,9981070066,9981070066,Av. Tulum frente al Chedraui,,We offer you the best environment to live with your friends.,Cancún,https://maps.app.goo.gl/ee773dtim6rgKaqeA,"21.15944550831027, -86.82521306138261",15% + welcome cocktail,https://drive.google.com/file/d/1cNMaJRgfGCj5E-LM5nwDLAV1vlzAjAso/view?usp=drive_link,https://www.facebook.com/MitoteKaraokeBar/?locale=es_LA,,restaurant Bar,Bar,,Restaurants,Yes,1,FALSE,NO
267,TRUE,Street Food Latino y Más... PDC,Clara ,Baca,Clarabacca@outlook.com,9842107108,9843222372,Av. Constituyentes entre avenidas 15 y 20,,Latin and international street food,Playa del Carmen,https://maps.app.goo.gl/8bP5GAZLY9poM3Sg7?g_st=com.google.maps.preview.copy,"20.631438135644142, -87.07224032698792",15%,https://drive.google.com/file/d/1m5_fZ6UpY4jDhvl6ualagiDw5s1Fxz0n/view?usp=drive_link,,https://www.instagram.com/streetfoodlatinoymas_pdc?igsh=emw3MXg4MzduZ24=,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
268,TRUE,Lorenza,Agustin,Cituk ,agust416@gmail.com,9838090991,9838090991,"C. 7 Sur entre Calle 16 Sur, La Veleta, 77760 Tulum, Q.R.",,"We are a colorful corner in Tulum, Mexico.",Tulum,https://maps.app.goo.gl/iFXPmfHCSs564KJK8?g_st=ic,"20.203430971352418, -87.4725080288364",welcome cocktail,https://drive.google.com/file/d/17hhet3aAxvY3sBUMHaQoT6opeSVb-j8R/view?usp=drive_link,,https://www.instagram.com/lorenzatulum?igsh=aTN5bjhuN2M2Z3I2,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
269,TRUE,La Torteria Tulum,Agustin,Aguilera ,latorteria.tulum@gmail.com,5516851332,5516851332,Calle centauro sur 13 centro tulum,,Here we prepare the most CHINGONAS cakes in all of Tulum!,Tulum,https://maps.app.goo.gl/5B2GGZrgBW93Sakm7?g_st=ic,"20.211454020716022, -87.45912122883641",10%,https://drive.google.com/file/d/1NbatPe5e7Wx_7DQozHqSf2IkU8CKHFL_/view?usp=drive_link,https://www.facebook.com/latorteriatulum?mibextid=LQQJ4d,https://www.instagram.com/latorteriatulum/?utm_medium=copy_link,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
270,TRUE,San Lucho,,,,3113537758,3113537758,"5 Av. Nte. entre 42 y 44, Zazil-ha, 77720 Playa del Carmen, Q.R.",,Mexican food and drinks,Playa del Carmen,https://maps.app.goo.gl/HYsDA1EuN91zhsYGA?g_st=ic,"20.637217423973716, -87.06478794232719",10%,https://drive.google.com/file/d/1S_ZA_WTpIXvfYFzaCdc3xqxCzAQBIiIA/view?usp=drive_link,https://m.facebook.com/people/SAN-LUCHO/100083938445279/,,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
tacos,roast meat,cakes,burritos,hamburgers,barbecues.,,,,,,We have seafood,,,,,,,,,,,,,,
272,TRUE,GUSTO Pizzería,Marco,,,9841456668,9841456668,Av. Tulum entre Osiris y Beta,,Italian restaurant,Tulum,https://maps.app.goo.gl/sKtAQgn8jtnKSnva8,"20.21199471860259, -87.46195736930869",10%,https://drive.google.com/file/d/12PS82qDPbHOP4Yad76VvsQ1kaOWopS6H/view?usp=drive_link,,https://www.instagram.com/gusto.tulum/,Restaurant Italian-Italiano,Italian,,Restaurants,Yes,1,FALSE,NO
273,TRUE,La Taque,Franklin,Alcocer,lataquetulum@gmail.com,9841850981,9841850981,"Calle Palenque entre Ontario y Zacbeh, La Veleta",,"Tacos & Grill, Liters and cocktails, Breakfasts.",Tulum,https://maps.app.goo.gl/txsbgV8aYzDYtR6L8,"20.206786774022106, -87.47135488465717",10%,https://drive.google.com/file/d/1l5PJ9RhAVGcrhL6JRczWXfQvEh7g8GTU/view?usp=drive_link,https://www.facebook.com/profile.php?id=100095311811083,https://www.instagram.com/lataquetulum/,Mexican Restaurant Tacos,Mexican Tacos,,Restaurants,Yes,1,FALSE,NO
274,TRUE,Mr. Waffle,Agustin,,,5491123766313,5491123766313,Av 15 y Calle 8 Nte,,"Original Mr. Waffle and for extroverted tastes, the best breakfasts, delicious burgers.",Playa del Carmen,https://maps.app.goo.gl/uQwBAgnpw4XGJNHK7,"20.626977225494237, -87.07442203185106",10%,https://drive.google.com/file/d/1mEoLUNZP4TMVWZEl01C_RCwd5yx0Q037/view?usp=drive_link,https://www.facebook.com/mr.waffleplayadelcarmen/?paipv=0&eav=Afa2_QsnnwjAxQYHnQL-bprHKlInY9B5Du0ulVWfY6hdKAY1AIEJRcLITzqZFOHAA4s&_rdr,https://www.instagram.com/mr.waffle.pdc?igsh=MXV1OWxqMHhpZTk4dQ==,Restaurant Breakfast,Breakfast,,Restaurants,Yes,1,FALSE,NO
275,TRUE,Fish & Gin,Jorge,,,9983306958,9983306958,"Av. Francisco I. Madero mz13 lt 1, Centro - Supmza. 001, 77400 Isla Mujeres, Q.R.",,Fresh and delicious seafood combined,Isla Mujeres,https://maps.app.goo.gl/tFJtyAqn3JGHuLyFA,"21.257876874830608, -86.74708298465436",Complimentary drink with consumption,https://drive.google.com/file/d/1NAy1I57EEcfh8tAUokYddUnKGXBMUDJD/view?usp=drive_link,https://m.facebook.com/people/FishGin/100062105270559/?locale=sr_RS,https://www.instagram.com/fish_and_gin/,Restaurant Mariscos/Seafood,Seafood/Seafood,,Restaurants,Yes,1,FALSE,NO
276,TRUE,La Terraza,Zuleyma,Gama,Zuleymagama7@gmail.com,9631854475,9631854475,"Miguel Hidalgo, col. Centro, 77400 Isla Mujeres, Q.R.",,"A place with a good atmosphere to spend a pleasant time with live music every night",Isla mujeres,https://maps.app.goo.gl/ayggVkKNMC8L1aBW7?g_st=ic,"21.257626677543122, -86.74780658465434",Shot tequila/2x1 margaritas,https://drive.google.com/file/d/1N00otnAuvrW0m5V7SlH5o7LOtadl8DX2/view?usp=drive_link,https://www.facebook.com/laterrazaisla?mibextid=LQQJ4d,https://www.instagram.com/laterrazaisla/?hl=es-la,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
277,TRUE,Brisa Mexicana,Esteban,,,9982226844,9988771062,"Miguel Hidalgo S/N-Mz 18, Centro, 77400 Isla Mujeres, Q.R.",,Bar Restaurant,Isla Mujeres,https://maps.app.goo.gl/wwjq8v66K7iFX1ak9?g_st=ic,"21.257975779419755, -86.7485379288364",Welcome Margarita,https://drive.google.com/file/d/1Df4rYvGdOqD_h9rVwd_TINPkLeLJFKGU/view?usp=drive_link,,,Mexican Restaurant,Mexican Bar,,Restaurants,Yes,1,FALSE,NO
278,TRUE,Ivan's Bar,Ivan,,,9983393378,9983393378,"Matamoros Supermanzana 1 Manzana 18 Lote 11, Centro, 77400 Isla Mujeres, Q.R.",,Sports bar,Isla Mujeres,https://maps.app.goo.gl/U9mLd3daq53VnHuT7?g_st=ic,"21.258121180427292, -86.74841734232717",Tequila shot,https://drive.google.com/file/d/1DPGflp1Zf4Al76dbA7VBNlQUqfstgqcV/view?usp=drive_link,,,Restaurant Sports Bar,Sports Bar,,Restaurants,Yes,1,FALSE,NO
279,TRUE,Fredy's Bar & Restaurant,Mindi,,,9981674000,9981674000,"Miguel Hidalgo 13, Centro - Supmza. 001, 77400 Isla Mujeres, Q.R.",,Bar Restaurant,Isla Mujeres,https://maps.app.goo.gl/13kpDwDAoC8Nt6DY7?g_st=ic,"21.258329688573802, -86.74963037116358",1 drink,https://drive.google.com/file/d/1p6tFNi6DPwC0c9o9P4wayIbclsr9hB_2/view?usp=drive_link,https://www.facebook.com/restaurantfredys?mibextid=LQQJ4d,,Mexican Restaurant,Mexican Bar,,Restaurants,Yes,1,FALSE,NO
280,TRUE,La Casa del Ceviche,Joel,,,9981582020,9981582020,"C. Jurel Manzana 150 Lote 7, La Gloria, 77400 Isla Mujeres, Q.R.",,"We are the highest restaurant in all of Isla Mujeres. Enjoy an incredible view in the company of the best flavor in ceviches, breaded shrimp, cocktails and cuts.",Isla Mujeres ,https://maps.app.goo.gl/wmL35sPVsKJrjidE7,"21.224509973311264, -86.72599665396305",Complimentary drink with minimum consumption of 450 per person ,https://drive.google.com/file/d/14g0tCXDraxX02rMeJWPmstZgUZtxSq72/view?usp=drive_link,https://www.facebook.com/p/La-Casa-del-Ceviche-Isla-Mujeres-100082987676193/,,Restaurant Ceviche,Ceviche,,Restaurants,Yes,1,FALSE,NO
